data set,fold,shrinkage,depth,accuracy
basket,8,0.4,2,0.6666666666666666
basket,8,0.4,4,0.6666666666666666
basket,8,0.4,6,0.6666666666666666
basket,8,0.4,8,0.6666666666666666
basket,8,0.6,2,0.6666666666666666
basket,8,0.6,4,0.6666666666666666
basket,8,0.6,6,0.6666666666666666
basket,8,0.6,8,0.6666666666666666
basket,9,0.05,2,0.6666666666666666
basket,9,0.05,4,0.6666666666666666
basket,9,0.05,6,0.6666666666666666
basket,9,0.05,8,0.6666666666666666
basket,9,0.2,2,0.6666666666666666
basket,9,0.2,4,0.6666666666666666
basket,9,0.2,6,0.6666666666666666
basket,9,0.2,8,0.6666666666666666
basket,9,0.4,2,0.6666666666666666
basket,9,0.4,4,0.6666666666666666
basket,9,0.4,6,0.6666666666666666
basket,9,0.4,8,0.6666666666666666
basket,9,0.6,2,0.6666666666666666
basket,9,0.6,4,0.6666666666666666
basket,9,0.6,6,0.6666666666666666
basket,9,0.6,8,0.6666666666666666
carcinogenesis,0,0.05,2,0.42424242424242425
carcinogenesis,0,0.05,4,0.42424242424242425
carcinogenesis,0,0.05,6,0.42424242424242425
carcinogenesis,0,0.05,8,0.42424242424242425
carcinogenesis,0,0.2,2,0.42424242424242425
carcinogenesis,0,0.2,4,0.42424242424242425
carcinogenesis,0,0.2,6,0.42424242424242425
carcinogenesis,0,0.2,8,0.42424242424242425
carcinogenesis,0,0.4,2,0.42424242424242425
carcinogenesis,0,0.4,4,0.42424242424242425
carcinogenesis,0,0.4,6,0.42424242424242425
carcinogenesis,0,0.4,8,0.42424242424242425
carcinogenesis,0,0.6,2,0.42424242424242425
carcinogenesis,0,0.6,4,0.42424242424242425
carcinogenesis,0,0.6,6,0.42424242424242425
carcinogenesis,0,0.6,8,0.42424242424242425
carcinogenesis,1,0.05,2,0.48484848484848486
carcinogenesis,1,0.05,4,0.48484848484848486
carcinogenesis,1,0.05,6,0.48484848484848486
carcinogenesis,1,0.05,8,0.48484848484848486
carcinogenesis,1,0.2,2,0.48484848484848486
carcinogenesis,1,0.2,4,0.48484848484848486
carcinogenesis,1,0.2,6,0.48484848484848486
carcinogenesis,1,0.2,8,0.48484848484848486
carcinogenesis,1,0.4,2,0.48484848484848486
carcinogenesis,1,0.4,4,0.48484848484848486
carcinogenesis,1,0.4,6,0.48484848484848486
carcinogenesis,1,0.4,8,0.48484848484848486
carcinogenesis,1,0.6,2,0.48484848484848486
carcinogenesis,1,0.6,4,0.48484848484848486
carcinogenesis,1,0.6,6,0.48484848484848486
carcinogenesis,1,0.6,8,0.48484848484848486
carcinogenesis,2,0.05,2,0.48484848484848486
carcinogenesis,2,0.05,4,0.48484848484848486
carcinogenesis,2,0.05,6,0.48484848484848486
carcinogenesis,2,0.05,8,0.48484848484848486
carcinogenesis,2,0.2,2,0.48484848484848486
carcinogenesis,2,0.2,4,0.48484848484848486
carcinogenesis,2,0.2,6,0.48484848484848486
carcinogenesis,2,0.2,8,0.48484848484848486
carcinogenesis,2,0.4,2,0.48484848484848486
carcinogenesis,2,0.4,4,0.48484848484848486
carcinogenesis,2,0.4,6,0.48484848484848486
carcinogenesis,2,0.4,8,0.48484848484848486
carcinogenesis,2,0.6,2,0.48484848484848486
carcinogenesis,2,0.6,4,0.48484848484848486
carcinogenesis,2,0.6,6,0.48484848484848486
carcinogenesis,2,0.6,8,0.48484848484848486
carcinogenesis,3,0.05,2,0.48484848484848486
carcinogenesis,3,0.05,4,0.48484848484848486
carcinogenesis,3,0.05,6,0.48484848484848486
carcinogenesis,3,0.05,8,0.48484848484848486
carcinogenesis,3,0.2,2,0.48484848484848486
carcinogenesis,3,0.2,4,0.48484848484848486
carcinogenesis,3,0.2,6,0.48484848484848486
carcinogenesis,3,0.2,8,0.48484848484848486
carcinogenesis,3,0.4,2,0.48484848484848486
carcinogenesis,3,0.4,4,0.48484848484848486
carcinogenesis,3,0.4,6,0.48484848484848486
carcinogenesis,3,0.4,8,0.48484848484848486
carcinogenesis,3,0.6,2,0.48484848484848486
carcinogenesis,3,0.6,4,0.48484848484848486
carcinogenesis,3,0.6,6,0.48484848484848486
carcinogenesis,3,0.6,8,0.48484848484848486
carcinogenesis,4,0.05,2,0.42424242424242425
carcinogenesis,4,0.05,4,0.42424242424242425
carcinogenesis,4,0.05,6,0.42424242424242425
carcinogenesis,4,0.05,8,0.42424242424242425
carcinogenesis,4,0.2,2,0.42424242424242425
carcinogenesis,4,0.2,4,0.42424242424242425
carcinogenesis,4,0.2,6,0.42424242424242425
carcinogenesis,4,0.2,8,0.42424242424242425
carcinogenesis,4,0.4,2,0.42424242424242425
carcinogenesis,4,0.4,4,0.42424242424242425
carcinogenesis,4,0.4,6,0.42424242424242425
carcinogenesis,4,0.4,8,0.42424242424242425
carcinogenesis,4,0.6,2,0.42424242424242425
carcinogenesis,4,0.6,4,0.42424242424242425
carcinogenesis,4,0.6,6,0.42424242424242425
carcinogenesis,4,0.6,8,0.42424242424242425
carcinogenesis,5,0.05,2,0.48484848484848486
carcinogenesis,5,0.05,4,0.48484848484848486
carcinogenesis,5,0.05,6,0.48484848484848486
carcinogenesis,5,0.05,8,0.48484848484848486
